,月内平均値,月内中央値,月内最大値,月内最小値,会員期間,cluster
343,5.25,5.0,7,4,42,1
344,5.25,5.0,8,3,42,1
345,4.833333333,5.0,8,2,42,1
346,4.666666667,4.5,8,2,42,1
347,4.666666667,5.0,6,2,42,1
348,4.583333333,4.5,7,2,42,1
349,4.25,4.5,7,2,42,1
350,3.833333333,3.5,6,2,42,1
351,3.75,4.0,6,1,42,1
352,4.583333333,5.0,7,2,42,1
353,4.583333333,4.5,8,1,42,1
354,4.666666667,4.5,8,3,42,1
355,4.833333333,4.5,7,2,42,1
356,4.75,5.0,8,1,42,1
357,4.166666667,4.0,7,2,42,1
358,4.583333333,5.0,7,2,42,1
359,5.166666667,6.0,7,1,42,1
360,5.083333333,5.5,7,2,42,1
361,4.166666667,4.5,6,2,42,1
362,5.0,5.0,7,2,41,1
363,5.166666667,5.5,9,1,41,1
364,4.916666667,5.0,7,2,41,1
365,5.25,5.5,9,1,41,1
366,4.75,4.5,8,1,41,1
367,4.333333333,4.0,8,1,41,1
368,4.0,4.0,6,1,41,1
369,5.0,5.0,7,2,41,1
370,5.0,5.0,7,3,41,1
371,5.25,5.5,9,2,41,1
372,4.416666667,4.0,8,3,41,1
373,4.0,4.0,6,1,41,1
374,4.916666667,5.0,7,3,41,1
375,4.166666667,4.5,7,1,41,1
376,4.75,5.0,8,2,41,1
377,4.083333333,4.0,6,2,41,1
378,5.25,5.0,8,2,41,1
379,4.666666667,5.0,9,2,41,1
380,4.583333333,5.0,7,3,41,1
381,4.75,5.0,7,3,41,1
382,3.75,3.5,7,1,41,1
383,4.333333333,4.0,7,2,41,1
384,5.0,5.5,7,2,41,1
385,4.333333333,4.0,7,3,41,1
386,3.916666667,3.5,7,2,41,1
387,4.25,4.0,7,2,41,1
388,4.666666667,5.0,6,2,41,1
389,5.083333333,5.0,7,3,41,1
390,3.5,3.5,6,1,41,1
391,5.416666667,6.0,8,2,41,1
392,4.833333333,5.0,7,2,41,1
393,3.916666667,4.0,6,1,41,1
394,3.916666667,3.5,8,1,41,1
395,5.416666667,6.0,7,1,41,1
396,4.166666667,4.0,7,2,41,1
397,4.833333333,5.0,8,2,41,1
398,4.166666667,4.0,7,1,41,1
399,4.5,4.5,7,2,41,1
400,4.75,4.0,10,2,41,1
401,4.666666667,4.5,7,3,41,1
402,4.666666667,4.5,7,3,41,1
403,4.666666667,5.0,6,3,41,1
404,4.583333333,5.0,7,2,41,1
405,4.833333333,5.0,7,1,41,1
406,5.0,5.0,6,3,41,1
407,4.833333333,5.5,7,2,41,1
408,3.75,4.0,6,1,41,1
409,4.333333333,4.0,7,2,41,1
410,4.583333333,4.0,7,2,41,1
411,4.416666667,4.5,7,2,41,1
412,4.416666667,4.5,7,2,41,1
413,4.333333333,4.0,8,2,41,1
414,4.5,5.0,6,2,41,1
415,4.5,5.0,7,1,41,1
416,5.0,4.5,8,3,41,1
417,4.5,4.0,7,2,41,1
418,4.25,4.0,6,3,41,1
419,4.916666667,4.5,8,3,41,1
420,4.166666667,4.0,6,2,41,1
421,5.0,5.0,9,2,41,1
422,4.5,5.0,6,3,41,1
423,4.666666667,5.0,6,3,41,1
424,5.25,5.0,9,2,41,1
425,3.916666667,3.0,7,2,40,1
426,4.333333333,4.5,7,2,40,1
427,5.166666667,4.5,8,3,40,1
428,5.083333333,5.0,8,2,40,1
429,4.25,4.0,8,2,40,1
430,4.833333333,5.0,7,3,40,1
431,4.416666667,3.5,8,2,40,1
432,4.833333333,5.0,8,2,40,1
433,4.916666667,5.0,9,2,40,1
434,4.5,4.0,9,2,40,1
435,4.166666667,4.0,8,1,40,1
436,5.583333333,6.0,7,3,40,1
437,4.916666667,5.0,8,3,40,1
438,5.0,4.5,9,2,40,1
439,5.333333333,5.5,7,3,40,1
440,4.5,4.5,8,1,40,1
441,4.333333333,4.5,6,1,40,1
442,4.083333333,4.0,7,2,40,1
443,3.75,3.0,6,2,40,1
444,5.333333333,5.5,8,3,40,1
445,5.333333333,5.5,8,2,40,1
446,4.666666667,5.0,7,3,40,1
447,4.75,5.0,8,3,40,1
448,4.166666667,4.0,6,2,40,1
449,4.25,4.5,6,2,40,1
450,4.583333333,5.0,6,3,40,1
451,5.0,4.5,8,2,40,1
452,5.166666667,5.0,8,3,40,1
453,4.666666667,4.5,8,2,40,1
454,4.333333333,4.0,6,3,40,1
455,4.833333333,4.5,7,3,40,1
456,4.583333333,4.0,7,2,40,1
457,4.75,5.0,7,2,40,1
458,4.416666667,4.5,8,1,40,1
459,5.0,5.0,7,3,40,1
460,5.333333333,5.0,8,3,40,1
461,4.25,4.0,7,2,40,1
462,4.833333333,5.0,8,3,40,1
463,4.5,4.5,8,3,40,1
464,4.416666667,4.5,7,1,40,1
465,4.666666667,4.5,7,3,40,1
466,4.75,4.5,10,2,40,1
467,4.916666667,5.0,6,2,40,1
468,3.916666667,3.5,7,2,40,1
469,4.333333333,4.0,7,2,40,1
470,4.916666667,5.0,7,2,40,1
471,4.583333333,4.0,8,3,40,1
472,4.416666667,4.0,8,2,40,1
473,4.166666667,4.0,7,2,40,1
474,4.583333333,4.0,7,2,40,1
475,4.333333333,4.0,6,3,40,1
476,4.083333333,4.5,6,1,40,1
477,4.25,4.5,6,2,40,1
478,4.75,5.0,7,2,40,1
479,4.083333333,4.0,7,2,40,1
480,4.666666667,4.5,7,3,40,1
481,4.416666667,4.0,6,3,40,1
482,4.083333333,4.0,7,1,40,1
483,4.666666667,4.5,8,2,40,1
484,4.833333333,5.0,8,3,40,1
485,4.75,4.5,7,3,40,1
486,4.083333333,4.0,7,1,40,1
487,4.333333333,4.0,7,3,40,1
488,4.75,4.5,8,3,40,1
489,4.333333333,4.0,7,2,40,1
490,4.75,4.5,8,2,40,1
491,4.916666667,5.0,8,3,40,1
492,4.166666667,4.0,7,2,39,1
493,4.083333333,4.5,6,1,39,1
494,4.916666667,5.5,8,2,39,1
495,4.083333333,3.0,7,2,39,1
496,5.166666667,5.5,7,3,39,1
497,4.75,5.0,8,2,39,1
498,3.75,3.5,7,1,39,1
499,4.75,5.0,7,1,39,1
500,4.916666667,5.0,8,2,39,1
501,4.833333333,5.0,6,3,39,1
502,4.083333333,4.0,5,3,39,1
503,3.916666667,4.0,6,1,39,1
504,4.583333333,5.0,7,3,39,1
505,4.166666667,4.5,7,1,39,1
506,4.666666667,4.0,8,2,39,1
507,4.5,5.0,6,2,39,1
508,4.75,5.0,8,1,39,1
509,4.916666667,5.0,7,2,39,1
510,5.083333333,5.0,7,2,39,1
511,3.916666667,4.0,6,3,39,1
512,4.666666667,4.5,7,3,39,1
513,5.333333333,6.0,9,1,39,1
514,4.333333333,4.5,7,2,39,1
515,4.333333333,4.5,6,2,39,1
516,4.333333333,4.5,6,3,39,1
517,4.833333333,5.0,8,3,39,1
518,4.0,4.0,6,1,39,1
519,4.916666667,4.5,9,3,39,1
520,4.166666667,4.0,7,1,39,1
521,3.5,3.5,5,2,39,1
522,4.083333333,4.0,8,2,39,1
523,4.666666667,5.0,6,3,39,1
524,4.166666667,4.0,7,2,39,1
525,4.333333333,4.0,8,2,39,1
526,4.25,4.0,7,2,39,1
527,4.916666667,5.0,8,3,39,1
528,4.0,4.0,6,1,39,1
529,3.916666667,4.0,6,1,39,1
530,5.0,5.5,8,1,39,1
531,4.583333333,4.5,7,3,39,1
532,4.083333333,4.0,7,2,39,1
533,3.916666667,4.0,6,2,39,1
534,4.666666667,5.0,6,3,39,1
535,5.0,4.5,9,2,39,1
536,4.166666667,4.5,7,2,39,1
537,4.583333333,4.5,7,1,39,1
538,5.166666667,5.0,9,3,39,1
539,4.75,4.5,8,1,39,1
540,5.25,5.5,8,2,39,1
541,4.916666667,5.0,7,3,39,1
542,4.5,4.0,7,3,39,1
543,4.916666667,5.0,7,2,39,1
544,5.083333333,5.0,7,4,39,1
545,4.583333333,4.0,7,1,39,1
546,3.666666667,3.5,6,2,39,1
547,4.583333333,4.5,7,2,39,1
548,5.666666667,5.5,8,3,38,1
549,4.0,4.5,7,2,38,1
550,3.916666667,4.0,7,1,38,1
551,3.75,4.0,5,2,38,1
552,5.083333333,6.0,8,1,38,1
553,4.25,4.0,9,2,38,1
554,4.0,4.0,8,1,38,1
555,3.583333333,3.5,6,1,38,1
556,5.0,5.0,9,1,38,1
557,3.916666667,4.0,6,2,38,1
558,4.166666667,4.5,6,2,38,1
559,3.916666667,3.0,8,3,38,1
560,3.916666667,4.0,6,1,38,1
561,4.333333333,4.0,7,2,38,1
562,4.0,4.0,8,1,38,1
563,4.75,5.0,7,2,38,1
564,3.75,4.0,7,2,38,1
565,4.583333333,4.5,7,2,38,1
566,3.75,3.5,7,2,38,1
567,4.833333333,5.0,7,2,38,1
568,4.166666667,4.0,6,2,38,1
569,4.833333333,4.5,9,3,38,1
570,4.75,5.0,6,3,38,1
571,4.333333333,4.5,8,1,38,1
572,4.333333333,4.0,7,2,38,1
573,5.166666667,5.0,8,3,38,1
574,4.583333333,5.0,7,2,38,1
575,4.583333333,4.5,7,2,38,1
576,5.25,5.5,7,3,38,1
577,4.416666667,4.0,7,2,38,1
578,4.333333333,4.0,9,3,38,1
579,4.25,5.0,7,1,38,1
580,4.166666667,4.0,7,2,38,1
581,4.583333333,4.5,8,2,38,1
582,4.583333333,5.0,7,1,38,1
583,5.0,5.0,7,2,38,1
584,4.666666667,5.0,7,2,38,1
585,4.833333333,5.0,7,2,38,1
586,4.583333333,5.0,8,2,38,1
587,4.666666667,4.5,8,2,38,1
588,4.25,4.5,6,2,38,1
589,4.666666667,4.0,11,2,38,1
590,4.666666667,4.5,7,3,38,1
591,4.333333333,4.0,7,1,38,1
592,5.083333333,5.0,10,2,38,1
593,4.25,4.0,6,2,38,1
594,4.25,4.5,6,1,38,1
595,4.166666667,4.5,7,1,38,1
596,4.0,4.0,7,1,37,1
597,5.25,5.5,8,2,37,1
598,4.416666667,4.5,6,3,37,1
599,5.0,5.0,7,3,37,1
600,4.5,4.5,7,2,37,1
601,4.333333333,4.5,6,3,37,1
602,5.0,5.0,8,2,37,1
603,5.416666667,5.5,7,2,37,1
604,4.833333333,5.5,7,2,37,1
605,4.75,4.0,8,3,37,1
606,4.916666667,4.5,8,3,37,1
607,4.75,5.0,6,1,37,1
608,4.333333333,4.5,8,1,37,1
609,4.083333333,3.5,8,2,37,1
610,5.083333333,5.0,8,2,37,1
611,4.5,4.5,7,2,37,1
612,4.666666667,5.0,8,2,37,1
613,4.833333333,5.0,8,3,37,1
614,4.75,5.0,7,2,37,1
615,3.916666667,4.0,6,2,37,1
616,5.25,5.5,7,3,37,1
617,4.583333333,5.0,7,1,37,1
618,4.833333333,5.0,7,3,37,1
619,5.083333333,5.0,6,2,37,1
620,4.916666667,5.0,7,3,37,1
621,4.166666667,4.0,7,2,37,1
622,5.583333333,5.0,8,3,37,1
623,4.833333333,5.0,8,2,37,1
624,4.25,4.5,7,1,37,1
625,4.166666667,4.5,7,2,37,1
626,4.916666667,5.0,7,3,37,1
627,4.166666667,4.5,6,2,37,1
628,4.166666667,4.0,7,1,37,1
629,4.833333333,4.5,7,3,37,1
630,3.833333333,4.0,6,1,37,1
631,5.166666667,5.5,10,1,37,1
632,5.0,5.0,8,2,37,1
633,4.0,3.5,6,1,37,1
634,4.5,4.0,7,3,37,1
635,5.0,5.5,7,3,37,1
636,4.666666667,4.5,8,2,37,1
637,3.833333333,4.0,5,2,37,1
638,5.0,5.0,7,2,37,1
639,4.166666667,4.5,7,1,37,1
640,4.916666667,5.0,8,2,37,1
641,5.416666667,5.0,7,3,37,1
642,4.5,5.0,6,2,37,1
643,4.25,4.0,6,2,37,1
644,4.25,4.5,7,1,37,1
645,4.5,4.5,9,2,37,1
646,4.416666667,5.0,6,2,37,1
647,5.0,5.0,9,2,37,1
648,3.75,4.0,5,2,37,1
649,4.583333333,5.0,7,2,37,1
650,4.5,4.5,7,1,37,1
651,4.666666667,4.5,8,1,36,1
652,4.5,4.0,8,2,36,1
653,4.666666667,5.0,6,3,36,1
654,5.083333333,5.5,7,2,36,1
655,4.416666667,4.0,8,2,36,1
656,5.25,5.0,8,3,36,1
657,3.916666667,3.5,6,2,36,1
658,4.25,4.0,7,1,36,1
659,4.666666667,4.5,7,3,36,1
660,4.25,4.0,6,2,36,1
661,4.833333333,5.0,8,2,36,1
662,4.916666667,5.0,7,2,36,1
663,5.166666667,5.0,8,3,36,1
664,4.166666667,4.0,8,2,36,1
665,4.583333333,4.5,6,3,36,1
666,5.166666667,5.0,9,2,36,1
667,4.75,4.0,7,3,36,1
668,4.5,4.5,6,3,36,1
669,4.583333333,4.0,6,3,36,1
670,4.916666667,4.5,8,2,36,1
671,3.916666667,3.5,6,2,36,1
672,5.25,6.0,8,2,36,1
673,3.5,3.0,9,1,36,1
674,4.75,4.5,8,2,36,1
675,5.25,5.0,10,2,36,1
676,5.25,6.0,8,3,36,1
677,4.25,4.0,6,3,36,1
678,4.166666667,4.0,6,2,36,1
679,4.166666667,4.0,6,1,36,1
680,4.666666667,4.5,7,3,36,1
681,4.333333333,4.5,7,2,36,1
682,4.666666667,4.5,7,3,36,1
683,4.833333333,5.0,9,2,36,1
684,5.0,5.0,8,2,36,1
685,4.333333333,4.5,6,2,36,1
686,4.916666667,5.0,7,2,36,1
687,4.75,4.5,8,2,36,1
688,5.083333333,5.0,7,3,36,1
689,4.083333333,4.0,6,3,36,1
690,4.75,4.0,9,1,36,1
691,3.916666667,4.0,6,1,36,1
692,4.5,4.5,7,2,36,1
693,4.333333333,4.0,7,3,36,1
694,5.0,5.0,7,3,36,1
695,4.916666667,5.0,8,3,36,1
696,4.25,4.5,6,2,36,1
697,4.5,4.0,7,2,36,1
698,4.5,5.0,7,1,36,1
699,5.333333333,5.0,7,4,36,1
700,3.583333333,3.5,6,1,36,1
701,4.666666667,4.5,7,3,36,1
702,4.083333333,3.5,6,3,36,1
703,4.333333333,4.5,6,2,36,1
704,4.0,4.0,6,1,36,1
705,5.083333333,5.0,8,1,36,1
706,5.166666667,5.0,7,4,36,1
707,3.833333333,4.0,5,2,36,1
708,3.0,3.0,3,3,23,2
709,5.25,5.0,8,2,35,1
710,4.916666667,4.5,8,2,35,1
711,4.5,4.5,6,3,35,1
712,5.166666667,5.0,8,3,35,1
713,4.333333333,4.0,6,3,35,1
714,4.666666667,5.0,6,2,35,1
715,5.083333333,5.5,8,2,35,1
716,3.666666667,3.0,6,2,35,1
717,4.5,5.0,7,2,35,1
718,5.0,5.5,8,2,35,1
719,4.666666667,5.0,6,2,35,1
