,A,B,"dict(A,B)",#(A)+#(B)
106,717,720,0.0,2
107,727,4298,0.0,3
108,756,4299,0.0,4
109,1108,1118,0.0,2
110,1522,1577,0.0,2
111,831,4289,0.0,3
112,838,4303,0.0,4
113,939,976,0.0,2
114,930,983,0.0,2
115,600,611,0.0,2
116,565,575,0.0,2
117,1089,1096,0.0,2
118,1354,1372,0.0,2
119,1362,1375,0.0,2
120,403,423,0.0,2
121,523,534,0.0,2
122,454,475,0.0,2
123,1619,1671,0.0,2
124,1348,1414,0.0,2
125,940,953,0.0,2
126,1150,1176,0.0,2
127,1187,4318,0.0,3
128,1011,1052,0.0,2
129,1134,1135,0.0,2
130,1505,1521,0.0,2
131,1273,1347,0.0,2
132,1339,1341,0.0,2
133,1291,1338,0.0,2
134,1343,4325,0.0,3
135,1385,1419,0.0,2
136,1485,1490,0.0,2
137,1513,1559,0.0,2
138,1422,1492,0.0,2
139,1499,1592,0.0,2
140,1447,1479,0.0,2
141,1287,1307,0.0,2
142,783,792,0.0,2
143,869,892,0.0,2
144,800,818,0.0,2
145,790,812,0.0,2
146,492,524,0.0,2
147,456,474,0.0,2
148,561,572,0.0,2
149,1286,1326,0.0,2
150,1681,1691,0.0,2
151,1631,1636,0.0,2
152,1720,1792,0.0,2
153,1641,1647,0.0,2
154,1951,1971,0.0,2
155,1990,4346,0.0,3
156,1925,1939,0.0,2
157,1907,1930,0.0,2
158,2351,2428,0.0,2
159,2565,2595,0.0,2
160,2773,2782,0.0,2
161,714,719,0.0,2
162,798,799,0.0,2
163,657,671,0.0,2
164,554,562,0.0,2
165,624,644,0.0,2
166,2547,2559,0.0,2
167,2601,4358,0.0,3
168,2266,2303,0.0,2
169,1005,1037,0.0,2
170,1764,1766,0.0,2
171,1435,1478,0.0,2
172,1573,1576,0.0,2
173,2064,2067,0.0,2
174,2146,2202,0.0,2
175,2248,2323,0.0,2
176,1143,1148,0.0,2
177,1170,4368,0.0,3
178,1896,1952,0.0,2
179,1739,1783,0.0,2
180,1813,1846,0.0,2
181,1897,1970,0.0,2
182,2316,2327,0.0,2
183,1893,1977,0.0,2
184,1895,1928,0.0,2
185,2008,4376,0.0,3
186,1707,1758,0.0,2
187,2267,2271,0.0,2
188,2056,2063,0.0,2
189,2432,2494,0.0,2
190,2261,2264,0.0,2
191,2568,2593,0.0,2
192,2609,4383,0.0,3
193,2168,2172,0.0,2
194,2140,2163,0.0,2
195,2222,4386,0.0,3
196,2575,2608,0.0,2
197,2254,2300,0.0,2
198,2018,2030,0.0,2
199,2338,2383,0.0,2
200,2357,2458,0.0,2
201,2508,2560,0.0,2
202,2371,2433,0.0,2
203,2618,2719,0.0,2
204,2774,2790,0.0,2
205,2733,2791,0.0,2
206,3048,3174,0.0,2
207,3428,3469,0.0,2
208,3198,3298,0.0,2
209,3347,4400,0.0,3
210,2864,2951,0.0,2
211,2496,2545,0.0,2
212,2654,2714,0.0,2
213,2750,2956,0.0,2
214,3046,3103,0.0,2
215,2930,3442,0.0,2
216,1711,1782,0.0,2
217,2089,2745,0.0,2
218,2342,3359,0.0,2
219,901,1062,0.0,2
220,3216,3490,0.0,2
221,3607,3688,0.0,2
222,3042,3149,0.0,2
223,2962,3418,0.0,2
224,3344,3796,0.0,2
225,3197,3581,0.0,2
226,2294,2295,0.0,2
227,3311,3398,0.0,2
228,3038,3451,0.0,2
229,2992,3399,0.0,2
230,3178,3664,0.0,2
231,2825,2995,0.0,2
232,3121,3654,0.0,2
233,2959,3671,0.0,2
234,3155,3181,0.0,2
235,2929,3733,0.0,2
236,2932,3156,0.0,2
237,2867,3182,0.0,2
238,3317,4429,0.0,3
239,3605,3866,0.0,2
240,3076,3115,0.0,2
241,2915,3375,0.0,2
242,2893,3278,0.0,2
243,3227,3253,0.0,2
244,3478,4435,0.0,3
245,3331,3433,0.0,2
246,1687,2313,0.0,2
247,3171,3938,0.0,2
248,3136,3464,0.0,2
249,3169,3345,0.0,2
250,2868,3408,0.0,2
251,3008,3436,0.0,2
252,3545,4443,0.0,3
253,2449,2452,0.0,2
254,3588,3719,0.0,2
255,3087,3307,0.0,2
256,3285,3525,0.0,2
257,3792,4448,0.0,3
258,3074,3284,0.0,2
259,3318,4450,0.0,3
260,2670,2721,0.0,2
261,3223,3254,0.0,2
262,3233,3445,0.0,2
263,3650,4454,0.0,3
264,3404,3412,0.0,2
265,3237,3613,0.0,2
266,3288,3303,0.0,2
267,3768,4458,0.0,3
268,2844,3502,0.0,2
269,3533,4460,0.0,3
270,3653,4461,0.0,4
271,1655,1751,0.0,2
272,2583,2589,0.0,2
273,1706,1735,0.0,2
274,2134,2136,0.0,2
275,2823,2918,0.0,2
276,3309,3407,0.0,2
277,3504,4468,0.0,3
278,3670,4469,0.0,4
279,3033,3241,0.0,2
280,3482,4471,0.0,3
281,3085,3530,0.0,2
282,3638,4473,0.0,3
283,3448,3468,0.0,2
284,3839,4475,0.0,3
285,2899,3342,0.0,2
286,3695,4477,0.0,3
287,3984,4478,0.0,4
288,3113,3273,0.0,2
289,3446,4480,0.0,3
290,3794,4481,0.0,4
291,2834,3587,0.0,2
292,2533,2537,0.0,2
293,2539,4484,0.0,3
294,2003,2133,0.0,2
295,1722,1730,0.0,2
296,1658,2114,0.0,2
297,2116,4488,0.0,3
298,2215,2232,0.0,2
299,2337,4490,0.0,3
300,2341,4491,0.0,4
301,2360,4492,0.0,5
302,2002,2092,0.0,2
303,2159,4494,0.0,3
304,2512,4495,0.0,4
305,2471,2495,0.0,2
306,2651,2705,0.0,2
307,2809,4498,0.0,3
308,1804,1806,0.0,2
309,2011,4500,0.0,3
310,2097,4501,0.0,4
311,2234,4502,0.0,5
312,1688,1743,0.0,2
313,1746,4504,0.0,3
314,1850,4505,0.0,4
315,1879,4506,0.0,5
316,2115,4507,0.0,6
317,1692,1861,0.0,2
318,2450,2451,0.0,2
319,2467,2475,0.0,2
320,2580,2602,0.0,2
321,3262,3516,0.0,2
322,3032,3368,0.0,2
323,3457,4027,0.0,2
324,3101,3364,0.0,2
325,3246,3929,0.0,2
326,2840,3018,0.0,2
327,3088,4518,0.0,3
328,1548,1550,0.0,2
329,1555,4520,0.0,3
330,1675,1676,0.0,2
331,1826,1827,0.0,2
332,1889,4523,0.0,3
333,1913,2192,0.0,2
334,2077,2078,0.0,2
335,2396,2497,0.0,2
336,708,729,0.0,2
337,785,4528,0.0,3
338,846,877,0.0,2
339,931,4530,0.0,3
340,1549,1551,0.0,2
341,1553,4532,0.0,3
342,1575,4533,0.0,4
343,1578,4534,0.0,5
344,1588,4535,0.0,6
345,1663,4536,0.0,7
346,1747,4537,0.0,8
347,1682,1700,0.0,2
348,1201,1604,0.0,2
349,1860,1886,0.0,2
350,2302,2308,0.0,2
351,1839,2152,0.0,2
352,1793,1799,0.0,2
353,1866,4544,0.0,3
354,1868,1871,0.0,2
355,1878,4546,0.0,3
356,1884,4547,0.0,4
357,1973,4548,0.0,5
358,2007,4549,0.0,6
359,1898,1916,0.0,2
360,2087,4551,0.0,3
361,1662,1665,0.0,2
362,1704,1726,0.0,2
363,1737,4554,0.0,3
364,1926,1972,0.0,2
365,2086,2240,0.0,2
366,2362,2363,0.0,2
367,2415,4558,0.0,3
368,2385,2391,0.0,2
369,2394,2404,0.0,2
370,2406,4561,0.0,3
371,3053,3306,0.0,2
372,2090,2275,0.0,2
373,3336,3501,0.0,2
374,3669,3882,0.0,2
375,3682,3815,0.0,2
376,3536,3810,0.0,2
377,3249,3679,0.0,2
378,3133,3419,0.0,2
379,3838,4570,0.0,3
380,3463,3677,0.0,2
381,3979,4572,0.0,3
382,3547,3943,0.0,2
383,3049,3161,0.0,2
384,3054,3379,0.0,2
385,3190,3945,0.0,2
386,4007,4577,0.0,3
387,2970,3081,0.0,2
388,3371,4579,0.0,3
389,3447,3604,0.0,2
390,3750,4581,0.0,3
391,4153,4180,0.0,2
392,2091,2095,0.0,2
393,2124,2125,0.0,2
394,1712,1714,0.0,2
395,1715,4586,0.0,3
396,1721,4587,0.0,4
397,1725,4588,0.0,5
398,1802,4589,0.0,6
399,1654,1666,0.0,2
400,1667,4591,0.0,3
401,1668,4592,0.0,4
402,1672,4593,0.0,5
403,1673,4594,0.0,6
404,1694,4595,0.0,7
405,1696,4596,0.0,8
406,1552,1590,0.0,2
407,1660,4598,0.0,3
408,1750,4599,0.0,4
409,1828,1863,0.0,2
410,1865,4601,0.0,3
411,1911,1912,0.0,2
412,1917,4603,0.0,3
413,1919,4604,0.0,4
414,1920,4605,0.0,5
415,2074,2201,0.0,2
416,2209,2211,0.0,2
417,2212,4608,0.0,3
418,2213,4609,0.0,4
419,2214,4610,0.0,5
420,2306,4611,0.0,6
421,2320,2321,0.0,2
422,2326,4613,0.0,3
423,2392,4614,0.0,4
424,2359,2397,0.0,2
425,2399,4616,0.0,3
426,2085,2100,0.0,2
427,2246,4618,0.0,3
428,2001,2005,0.0,2
429,2301,2368,0.0,2
430,2410,4621,0.0,3
431,2352,2379,0.0,2
432,2405,4623,0.0,3
433,2419,4624,0.0,4
434,2529,2691,0.0,2
435,2204,2390,0.0,2
436,2505,2787,0.0,2
437,1656,1657,0.0,2
438,1664,4629,0.0,3
439,1697,4630,0.0,4
440,1883,4631,0.0,5
441,2801,2802,0.0,2
442,1718,1719,0.0,2
443,1833,4634,0.0,3
444,1840,4635,0.0,4
445,1965,4636,0.0,5
446,2122,4637,0.0,6
447,3790,3985,0.0,2
448,3623,3992,0.0,2
449,2859,3175,0.0,2
450,2892,3570,0.0,2
451,3127,3507,0.0,2
452,3763,4643,0.0,3
453,4009,4018,0.0,2
454,3813,3874,0.0,2
455,1159,1206,0.0,2
456,1167,1168,0.0,2
457,2644,2647,0.0,2
458,3514,3568,0.0,2
459,3431,3443,0.0,2
460,3991,4045,0.0,2
461,3475,3481,0.0,2
462,3226,3271,0.0,2
463,3255,3282,0.0,2
464,3351,3376,0.0,2
465,3807,3891,0.0,2
466,3900,4657,0.0,3
467,3939,3956,0.0,2
468,3770,3805,0.0,2
469,3589,3615,0.0,2
470,3642,4661,0.0,3
471,3855,3865,0.0,2
472,3894,4663,0.0,3
473,3965,3976,0.0,2
474,3978,4665,0.0,3
475,3981,4666,0.0,4
476,4031,4667,0.0,5
477,4032,4668,0.0,6
478,2997,3176,0.0,2
479,3595,3645,0.0,2
480,3764,3788,0.0,2
481,3893,3897,0.0,2
482,3200,3260,0.0,2
483,3185,3332,0.0,2
484,4089,4111,0.0,2
485,4114,4676,0.0,3
486,3275,3335,0.0,2
487,3561,4678,0.0,3
488,4099,4679,0.0,4
489,3823,3842,0.0,2
490,3862,4681,0.0,3
491,3950,4682,0.0,4
492,4094,4095,0.0,2
493,3806,3848,0.0,2
494,3928,4685,0.0,3
495,3632,3660,0.0,2
496,3811,3910,0.0,2
497,3828,3854,0.0,2
498,3867,4689,0.0,3
499,3892,4690,0.0,4
500,3907,4691,0.0,5
501,3944,4692,0.0,6
502,3953,4693,0.0,7
503,4037,4048,0.0,2
504,2935,2990,0.0,2
505,3225,4696,0.0,3
506,3841,4697,0.0,4
507,3922,4698,0.0,5
508,3925,4699,0.0,6
509,2900,3183,0.0,2
510,3205,4701,0.0,3
511,3258,4702,0.0,4
512,3755,4703,0.0,5
513,3222,3401,0.0,2
514,3131,3954,0.0,2
515,3515,3585,0.0,2
516,3683,3776,0.0,2
517,2958,3665,0.0,2
518,3716,4709,0.0,3
519,3872,3916,0.0,2
520,3952,4711,0.0,3
521,3809,3857,0.0,2
522,2974,3269,0.0,2
523,3817,3830,0.0,2
524,3896,4715,0.0,3
525,3960,4716,0.0,4
526,3986,3993,0.0,2
527,4040,4718,0.0,3
528,4065,4071,0.0,2
529,3877,3918,0.0,2
530,3964,3971,0.0,2
531,4051,4722,0.0,3
532,4078,4098,0.0,2
533,4119,4724,0.0,3
534,4122,4725,0.0,4
535,3989,4042,0.0,2
536,3831,3904,0.0,2
537,3913,4728,0.0,3
538,3926,4729,0.0,4
539,3812,3824,0.0,2
540,3881,4731,0.0,3
541,3921,4732,0.0,4
542,3741,3802,0.0,2
543,3879,3895,0.0,2
544,3961,4735,0.0,3
545,3610,3616,0.0,2
546,3673,4737,0.0,3
547,3963,3977,0.0,2
548,4047,4739,0.0,3
549,4069,4080,0.0,2
550,4105,4741,0.0,3
551,4108,4742,0.0,4
552,4109,4743,0.0,5
553,4110,4744,0.0,6
554,4012,4041,0.0,2
555,3614,3666,0.0,2
556,3492,3574,0.0,2
557,3676,3710,0.0,2
558,3820,3845,0.0,2
559,3847,4750,0.0,3
560,4010,4043,0.0,2
561,3781,3801,0.0,2
562,3856,3870,0.0,2
563,3919,4754,0.0,3
564,3942,4755,0.0,4
565,3598,3621,0.0,2
566,3696,3712,0.0,2
567,3487,3556,0.0,2
568,3387,3432,0.0,2
569,3454,4760,0.0,3
570,3840,3885,0.0,2
571,3887,4762,0.0,3
572,3912,4763,0.0,4
573,3402,3474,0.0,2
574,3826,3890,0.0,2
575,3920,4766,0.0,3
576,3957,4767,0.0,4
577,3902,3951,0.0,2
578,4056,4063,0.0,2
579,4113,4770,0.0,3
580,3832,3858,0.0,2
581,3875,4772,0.0,3
582,3903,4773,0.0,4
583,3911,4774,0.0,5
584,3968,3999,0.0,2
585,4003,4776,0.0,3
586,4028,4777,0.0,4
587,4039,4778,0.0,5
588,4062,4096,0.0,2
589,4115,4780,0.0,3
590,4131,4159,0.0,2
591,4164,4782,0.0,3
592,4175,4783,0.0,4
593,4177,4784,0.0,5
594,4185,4785,0.0,6
595,2643,4073,0.0,2
596,4128,4133,0.0,2
597,4135,4788,0.0,3
598,4136,4789,0.0,4
599,4137,4790,0.0,5
600,4140,4791,0.0,6
601,4154,4792,0.0,7
602,4163,4793,0.0,8
603,4166,4794,0.0,9
604,4173,4795,0.0,10
605,4181,4796,0.0,11
606,4184,4797,0.0,12
607,4187,4798,0.0,13
608,4189,4799,0.0,14
609,3982,4000,0.0,2
610,4014,4801,0.0,3
611,4033,4802,0.0,4
612,4035,4803,0.0,5
613,3836,3899,0.0,2
614,3915,4805,0.0,3
615,3958,4806,0.0,4
616,4058,4059,0.0,2
617,4060,4808,0.0,3
618,4067,4809,0.0,4
619,4075,4810,0.0,5
620,4081,4811,0.0,6
621,4100,4812,0.0,7
622,4102,4813,0.0,8
623,4116,4814,0.0,9
624,4117,4815,0.0,10
625,4118,4816,0.0,11
626,4123,4817,0.0,12
627,3967,4036,0.0,2
628,3825,3859,0.0,2
629,3930,4820,0.0,3
630,4053,4054,0.0,2
631,4057,4822,0.0,3
632,4066,4823,0.0,4
633,4084,4824,0.0,5
634,4103,4825,0.0,6
635,4124,4826,0.0,7
636,3931,3933,0.0,2
637,3799,3803,0.0,2
638,4004,4025,0.0,2
639,3908,3955,0.0,2
640,4005,4026,0.0,2
641,4046,4832,0.0,3
642,4052,4833,0.0,4
643,3822,3844,0.0,2
644,3914,4835,0.0,3
645,3969,4013,0.0,2
646,4019,4837,0.0,3
647,4072,4085,0.0,2
648,4061,4079,0.0,2
649,4083,4840,0.0,3
650,3970,3987,0.0,2
651,4001,4842,0.0,3
652,4008,4029,0.0,2
653,4134,4146,0.0,2
654,4155,4845,0.0,3
655,4167,4846,0.0,4
656,4174,4847,0.0,5
657,2101,2102,0.0,2
658,2335,2348,0.0,2
659,2417,4850,0.0,3
660,2395,2402,0.0,2
661,2403,4852,0.0,3
662,2407,4853,0.0,4
663,2409,4854,0.0,5
664,2517,4855,0.0,6
665,2210,2305,0.0,2
666,2389,4857,0.0,3
667,2075,2079,0.0,2
668,2599,2615,0.0,2
669,2616,4860,0.0,3
670,1831,1864,0.0,2
671,1888,4862,0.0,3
672,1698,1728,0.0,2
673,1729,4864,0.0,3
674,1748,4865,0.0,4
675,1669,1679,0.0,2
676,1680,4867,0.0,3
677,1731,4868,0.0,4
678,1547,1554,0.0,2
679,1686,4870,0.0,3
680,2792,2794,0.0,2
681,3884,3937,0.0,2
682,3997,4034,0.0,2
683,4064,4088,0.0,2
684,4092,4875,0.0,3
685,4101,4876,0.0,4
686,4106,4877,0.0,5
687,4107,4878,0.0,6
688,4125,4879,0.0,7
689,4076,4091,0.0,2
690,4120,4126,0.0,2
691,4130,4132,0.0,2
692,4139,4883,0.0,3
693,4142,4884,0.0,4
694,4143,4885,0.0,5
695,4145,4886,0.0,6
696,4147,4887,0.0,7
697,4149,4888,0.0,8
698,4150,4889,0.0,9
699,4151,4890,0.0,10
700,4156,4891,0.0,11
701,4158,4892,0.0,12
702,4162,4893,0.0,13
703,4168,4894,0.0,14
704,4172,4895,0.0,15
705,4129,4157,0.0,2
706,4170,4897,0.0,3
707,4183,4898,0.0,4
708,4188,4899,0.0,5
709,4191,4900,0.0,6
710,4127,4138,0.0,2
711,4144,4902,0.0,3
712,4148,4903,0.0,4
713,4152,4904,0.0,5
714,4161,4905,0.0,6
715,4165,4906,0.0,7
716,4169,4907,0.0,8
717,4171,4908,0.0,9
718,4178,4909,0.0,10
719,4179,4910,0.0,11
720,4182,4911,0.0,12
721,4190,4912,0.0,13
722,4093,4097,0.0,2
723,4141,4160,0.0,2
724,4176,4915,0.0,3
725,4186,4916,0.0,4
726,2135,2548,0.008037778400686757,2
727,2704,3016,0.011366555427768432,2
728,2552,2772,0.018754816455817613,2
729,2118,2158,0.01875481645581778,2
730,2755,4359,0.01875481645581789,4
731,1376,1425,0.018754816455818002,2
732,2243,2660,0.02009444656436199,2
733,1993,2372,0.021921214280400836,2
734,2293,2460,0.023443520991755507,2
735,2386,2888,0.026792594856504426,2
736,1987,2423,0.026792594856504648,2
737,1835,2322,0.026792594856504648,2
738,1967,2126,0.028132224965048636,2
739,2241,2488,0.028132224965048636,2
740,2607,2698,0.028132224965048636,2
741,2247,2480,0.028132224965048636,2
742,1875,1947,0.028132224965048636,2
743,1543,4408,0.028416389132065234,3
744,2422,2905,0.029228285707200707,2
745,2229,2564,0.03750963347427971,2
746,2193,4511,0.03750963347427971,3
747,2217,2464,0.03750963347427971,2
748,2238,2574,0.03750963347427971,2
749,2669,2941,0.037509633474279824,2
750,2796,3301,0.0375096334742803,2
751,2468,2522,0.03907253442361491,2
752,2720,3094,0.0421983374475734,2
753,2439,4918,0.04376123895955231,3
754,2,11,0.046887041420866304,2
755,86,108,0.046887041420866304,2
756,90,111,0.046887041420866304,2
757,188,4198,0.046887041420866304,3
758,696,4199,0.046887041420866304,3
759,206,232,0.046887041420866304,2
760,88,121,0.046887041420866304,2
761,387,4222,0.046887041420866304,3
762,461,4223,0.046887041420866304,3
763,410,417,0.046887041420866304,2
764,334,342,0.046887041420866304,2
765,89,99,0.046887041420866304,2
766,282,4260,0.046887041420866304,3
767,309,348,0.046887041420866304,2
768,793,795,0.046887041420866304,2
769,914,4280,0.046887041420866304,3
770,733,4300,0.046887041420866304,5
771,920,985,0.046887041420866304,2
772,768,827,0.046887041420866304,2
773,665,668,0.046887041420866304,2
774,806,4334,0.046887041420866304,3
775,328,353,0.046887041420866304,2
776,2598,4351,0.046887041420866304,3
777,2259,2333,0.046887041420866304,2
778,910,968,0.046887041420866304,2
779,2029,2109,0.046887041420866304,2
780,2024,4380,0.046887041420866304,3
781,2354,2367,0.046887041420866304,2
782,4385,4387,0.046887041420866304,5
783,2047,4390,0.046887041420866304,3
784,2509,2576,0.046887041420866304,2
785,2655,2980,0.046887041420866304,2
786,120,4206,0.04688704142086633,3
787,851,4218,0.04688704142086633,3
788,416,419,0.04688704142086633,2
789,370,374,0.04688704142086633,2
790,599,4247,0.04688704142086633,3
791,364,4253,0.04688704142086633,3
792,640,4259,0.04688704142086633,3
793,766,775,0.04688704142086633,2
794,1177,1188,0.04688704142086633,2
795,844,890,0.04688704142086633,2
796,4278,4279,0.04688704142086633,5
797,1566,4297,0.04688704142086633,4
798,1649,1674,0.04688704142086633,2
799,1025,1059,0.04688704142086633,2
800,916,979,0.04688704142086633,2
801,1164,4319,0.04688704142086633,4
802,1498,4329,0.04688704142086633,3
803,1815,1817,0.04688704142086633,2
804,1182,1190,0.04688704142086633,2
805,1495,1556,0.04688704142086633,2
806,1293,1332,0.04688704142086633,2
807,1507,1523,0.04688704142086633,2
808,1776,1787,0.04688704142086633,2
809,1322,1336,0.04688704142086633,2
810,1929,1996,0.04688704142086633,2
811,1915,1954,0.04688704142086633,2
812,1595,1606,0.04688704142086633,2
813,101,126,0.046887041420866346,2
814,656,663,0.046887041420866346,2
815,829,830,0.046887041420866346,2
816,4231,4233,0.046887041420866346,5
817,1226,4268,0.046887041420866346,3
818,1074,1105,0.046887041420866346,2
819,1180,1181,0.046887041420866346,2
820,1050,4284,0.046887041420866346,3
821,1043,1056,0.046887041420866346,2
822,1151,1175,0.046887041420866346,2
823,1383,4286,0.046887041420866346,4
824,1434,1469,0.046887041420866346,2
825,1232,1266,0.046887041420866346,2
826,1104,1131,0.046887041420866346,2
827,1403,1408,0.046887041420866346,2
828,1450,1451,0.046887041420866346,2
829,4324,4326,0.046887041420866346,5
830,1515,1568,0.046887041420866346,2
831,1463,1486,0.046887041420866346,2
832,1231,1242,0.046887041420866346,2
833,1249,1272,0.046887041420866346,2
834,363,365,0.046887041420866346,2
835,1634,1659,0.046887041420866346,2
836,1605,1613,0.046887041420866346,2
837,1315,1328,0.046887041420866346,2
838,1461,1476,0.046887041420866346,2
839,254,267,0.04688704142086636,2
840,20,35,0.04688704142086636,2
841,123,130,0.04688704142086636,2
842,65,4210,0.04688704142086636,3
843,376,397,0.04688704142086636,2
844,447,4216,0.04688704142086636,3
845,159,4225,0.04688704142086636,3
846,151,4238,0.04688704142086636,4
847,485,4243,0.04688704142086636,3
848,804,825,0.04688704142086636,2
849,688,694,0.04688704142086636,2
850,490,4248,0.04688704142086636,3
851,325,4251,0.04688704142086636,3
852,718,4263,0.04688704142086636,3
853,807,819,0.04688704142086636,2
854,996,1035,0.04688704142086636,2
855,853,4283,0.04688704142086636,3
856,922,938,0.04688704142086636,2
857,563,584,0.04688704142086636,2
858,1084,1088,0.04688704142086636,2
859,739,755,0.04688704142086636,2
860,946,978,0.04688704142086636,2
861,1458,1488,0.04688704142086636,2
862,1404,4311,0.04688704142086636,3
863,1496,1510,0.04688704142086636,2
864,1437,1444,0.04688704142086636,2
865,1109,1126,0.04688704142086636,2
866,1446,1489,0.04688704142086636,2
867,1628,1678,0.04688704142086636,2
868,1709,4344,0.04688704142086636,3
869,1797,1869,0.04688704142086636,2
870,4347,4348,0.04688704142086636,5
871,1285,1317,0.04688704142086636,2
872,1083,1095,0.04688704142086636,2
873,828,4354,0.04688704142086636,3
874,1210,1220,0.04688704142086636,2
875,1903,1958,0.04688704142086636,2
876,1849,1892,0.04688704142086636,2
877,1386,1395,0.04688704142086636,2
878,1199,1258,0.04688704142086636,2
879,558,588,0.046887041420866415,2
880,642,646,0.046887041420866415,2
881,568,593,0.046887041420866415,2
882,660,678,0.046887041420866415,2
883,73,96,0.046887041420866415,2
884,308,314,0.046887041420866415,2
885,185,200,0.046887041420866415,2
886,281,300,0.046887041420866415,2
887,399,4262,0.046887041420866415,3
888,652,655,0.046887041420866415,2
889,526,4338,0.046887041420866415,3
890,440,458,0.046887041420866415,2
891,1497,1528,0.046887041420866415,2
892,2038,2050,0.046887041420866415,2
893,867,902,0.046887041420866415,2
894,639,4357,0.046887041420866415,3
895,1999,2012,0.046887041420866415,2
896,2034,2039,0.046887041420866415,2
897,2550,2611,0.046887041420866415,2
898,2170,2183,0.046887041420866415,2
899,2278,4389,0.046887041420866415,3
900,2585,2590,0.046887041420866415,2
901,2506,2587,0.046887041420866415,2
902,2462,2477,0.046887041420866415,2
903,2762,2769,0.046887041420866415,2
904,2667,2716,0.046887041420866415,2
905,2748,2814,0.046887041420866415,2
906,2634,2636,0.046887041420866415,2
907,2728,2763,0.046887041420866415,2
908,2621,2648,0.046887041420866415,2
909,195,230,0.046887041420866526,2
910,92,106,0.046887041420866526,2
911,637,648,0.046887041420866526,2
912,393,4226,0.04688704142086664,3
913,4228,4229,0.04688704142086664,4
914,691,704,0.04688704142086664,2
915,2130,4445,0.04688704142086664,3
916,2604,4559,0.04688704142086664,4
917,240,264,0.0468870419835109,2
918,77,4202,0.0468870419835109,3
919,2744,2806,0.046887041983511235,2
920,2781,2784,0.046887041983511235,2
921,2722,2753,0.046887041983511235,2
922,8,59,0.046887041983511346,2
923,377,420,0.046887041983511346,2
924,107,128,0.046887041983511346,2
925,187,210,0.046887041983511346,2
926,100,4208,0.046887041983511346,3
927,190,4214,0.046887041983511346,3
928,473,4224,0.046887041983511346,3
929,261,262,0.046887041983511346,2
930,845,878,0.046887041983511346,2
931,481,4314,0.046887041983511346,3
932,598,601,0.046887041983511346,2
933,823,4336,0.046887041983511346,3
934,841,908,0.046887041983511346,2
935,577,4340,0.046887041983511346,3
936,4342,4343,0.046887041983511346,4
937,1571,1572,0.046887041983511346,2
938,1757,1788,0.046887041983511346,2
939,993,1033,0.046887041983511346,2
940,2190,4366,0.046887041983511346,3
941,1803,1824,0.046887041983511346,2
942,1905,1997,0.046887041983511346,2
943,2431,2478,0.046887041983511346,2
944,2187,2207,0.046887041983511346,2
